c,4,21.99,37.999,218.57,2016/3/15 19:04
a,2,21.12,43.79,185.71,2016/3/15 19:04
b,2,22.68,64.607,187.14,2016/3/15 19:04
a,1,20.72,45.41,200,2016/3/15 19:05
a,3,20.74,41.441,215.71,2016/3/15 19:05
a,4,21.14,42.615,231.43,2016/3/15 19:05
c,1,22.29,40.307,144.29,2016/3/15 19:05
c,5,22.03,41.603,158.57,2016/3/15 19:05
b,1,22.92,50.513,167.14,2016/3/15 19:05
b,2,22.67,64.607,187.14,2016/3/15 19:05
b,3,22.75,53.389,184.29,2016/3/15 19:05
c,2,22.11,50.351,174.29,2016/3/15 19:05
c,3,22.11,35.285,158.57,2016/3/15 19:05
c,4,21.99,37.999,218.57,2016/3/15 19:05
a,2,21.12,43.749,185.71,2016/3/15 19:05
a,3,20.74,41.441,217.14,2016/3/15 19:05
a,1,20.72,45.41,200,2016/3/15 19:05
a,4,21.13,42.575,232.86,2016/3/15 19:05
c,1,22.3,40.347,141.43,2016/3/15 19:05
c,2,22.12,50.351,172.86,2016/3/15 19:05
c,3,22.1,35.285,160,2016/3/15 19:05
c,4,22,37.999,217.14,2016/3/15 19:05
b,2,22.67,64.607,187.14,2016/3/15 19:05
c,5,22.02,41.603,161.43,2016/3/15 19:05
a,2,21.11,43.749,185.71,2016/3/15 19:05
b,1,22.92,50.554,167.14,2016/3/15 19:05
b,3,22.75,53.429,185.71,2016/3/15 19:05
a,1,20.72,45.41,198.57,2016/3/15 19:05
a,3,20.74,41.441,217.14,2016/3/15 19:05
a,4,21.13,42.575,231.43,2016/3/15 19:05
c,2,22.1,50.31,172.86,2016/3/15 19:05
c,3,22.1,35.285,160,2016/3/15 19:05
c,4,22,37.999,221.43,2016/3/15 19:05
c,5,22.03,41.603,160,2016/3/15 19:05
b,1,22.92,50.554,167.14,2016/3/15 19:05
b,2,22.68,64.607,187.14,2016/3/15 19:05
b,3,22.75,53.429,185.71,2016/3/15 19:05
c,1,22.3,40.388,144.29,2016/3/15 19:05
a,2,21.12,43.79,185.71,2016/3/15 19:05
a,4,21.13,42.575,231.43,2016/3/15 19:05
a,1,20.72,45.41,198.57,2016/3/15 19:05
a,3,20.74,41.441,215.71,2016/3/15 19:05
c,1,22.3,40.347,144.29,2016/3/15 19:05
c,2,22.1,50.31,172.86,2016/3/15 19:05
c,3,22.1,35.245,160,2016/3/15 19:05
c,5,22.02,41.603,161.43,2016/3/15 19:05
b,1,22.92,50.554,165.71,2016/3/15 19:05
b,2,22.67,64.607,187.14,2016/3/15 19:05
b,3,22.75,53.348,185.71,2016/3/15 19:05
c,4,21.98,37.999,218.57,2016/3/15 19:05
a,2,21.11,43.749,185.71,2016/3/15 19:05
a,1,20.71,45.41,201.43,2016/3/15 19:05
a,3,20.74,41.441,214.29,2016/3/15 19:05
a,4,21.12,42.575,232.86,2016/3/15 19:05
c,3,22.09,35.204,161.43,2016/3/15 19:05
b,1,22.92,50.554,165.71,2016/3/15 19:05
b,2,22.68,64.647,185.71,2016/3/15 19:05
b,3,22.75,53.307,185.71,2016/3/15 19:05
c,1,22.3,40.347,142.86,2016/3/15 19:05
c,2,22.12,50.351,174.29,2016/3/15 19:05
c,4,21.99,37.999,215.71,2016/3/15 19:05
c,5,22.01,41.603,160,2016/3/15 19:05
a,2,21.11,43.709,185.71,2016/3/15 19:05
a,1,20.72,45.41,198.57,2016/3/15 19:05
a,3,20.74,41.441,215.71,2016/3/15 19:05
a,4,21.13,42.575,232.86,2016/3/15 19:05
c,1,22.29,40.388,144.29,2016/3/15 19:05
c,2,22.1,50.351,172.86,2016/3/15 19:05
c,3,22.1,35.285,160,2016/3/15 19:05
c,5,22.02,41.603,160,2016/3/15 19:05
b,1,22.92,50.513,165.71,2016/3/15 19:05
b,2,22.68,64.647,185.71,2016/3/15 19:05
b,3,22.76,53.267,185.71,2016/3/15 19:05
c,4,21.99,37.999,218.57,2016/3/15 19:05
a,2,21.11,43.709,184.29,2016/3/15 19:05
a,1,20.72,45.41,200,2016/3/15 19:05
a,3,20.74,41.441,215.71,2016/3/15 19:05
a,4,21.13,42.535,232.86,2016/3/15 19:05
c,3,22.1,35.285,158.57,2016/3/15 19:05
c,4,21.99,37.999,218.57,2016/3/15 19:05
b,1,22.92,50.472,165.71,2016/3/15 19:05
b,2,22.66,64.647,184.29,2016/3/15 19:05
b,3,22.75,53.267,184.29,2016/3/15 19:05
c,1,22.28,40.307,141.43,2016/3/15 19:05
c,2,22.12,50.351,172.86,2016/3/15 19:05
c,5,22.02,41.603,160,2016/3/15 19:05
a,2,21.12,43.709,187.14,2016/3/15 19:05
a,1,20.72,45.41,200,2016/3/15 19:05
a,3,20.74,41.441,215.71,2016/3/15 19:05
a,4,21.13,42.494,231.43,2016/3/15 19:05
c,1,22.28,40.307,144.29,2016/3/15 19:05
c,2,22.11,50.351,172.86,2016/3/15 19:05
c,3,22.1,35.285,158.57,2016/3/15 19:05
c,4,22,37.999,218.57,2016/3/15 19:05
b,1,22.92,50.513,165.71,2016/3/15 19:05
b,2,22.67,64.647,187.14,2016/3/15 19:05
b,3,22.74,53.267,184.29,2016/3/15 19:05
c,5,22.02,41.603,158.57,2016/3/15 19:05
a,1,20.72,45.41,200,2016/3/15 19:05
a,2,21.11,43.709,185.71,2016/3/15 19:05
a,3,20.74,41.401,214.29,2016/3/15 19:05
a,4,21.14,42.494,232.86,2016/3/15 19:05
c,1,22.29,40.388,145.71,2016/3/15 19:05
c,3,22.1,35.285,160,2016/3/15 19:05
b,2,22.67,64.688,185.71,2016/3/15 19:05
b,3,22.75,53.267,185.71,2016/3/15 19:05
c,2,22.1,50.351,171.43,2016/3/15 19:05
c,4,21.98,38.039,217.14,2016/3/15 19:05
c,5,22,41.603,161.43,2016/3/15 19:05
a,2,21.12,43.749,187.14,2016/3/15 19:05
b,1,22.92,50.513,165.71,2016/3/15 19:05
a,1,20.71,45.41,198.57,2016/3/15 19:05
a,3,20.73,41.401,215.71,2016/3/15 19:05
a,4,21.14,42.494,231.43,2016/3/15 19:05
c,1,22.28,40.388,144.29,2016/3/15 19:05
c,2,22.1,50.351,175.71,2016/3/15 19:05
c,4,21.98,37.999,217.14,2016/3/15 19:05
b,1,22.92,50.472,165.71,2016/3/15 19:05
b,2,22.66,64.647,188.57,2016/3/15 19:05
b,3,22.75,53.227,185.71,2016/3/15 19:05
c,3,22.1,35.285,157.14,2016/3/15 19:05
c,5,22.02,41.563,158.57,2016/3/15 19:05
a,2,21.11,43.709,187.14,2016/3/15 19:05
a,4,21.14,42.453,234.29,2016/3/15 19:05
a,1,20.72,45.41,198.57,2016/3/15 19:05
a,3,20.75,41.401,214.29,2016/3/15 19:05
c,4,21.98,37.999,217.14,2016/3/15 19:05
c,5,22.01,41.522,158.57,2016/3/15 19:05
b,3,22.74,53.186,184.29,2016/3/15 19:05
c,1,22.28,40.388,141.43,2016/3/15 19:05
c,2,22.1,50.351,174.29,2016/3/15 19:05
c,3,22.09,35.285,160,2016/3/15 19:05
a,2,21.12,43.749,187.14,2016/3/15 19:05
b,1,22.93,50.472,164.29,2016/3/15 19:05
b,2,22.67,64.607,185.71,2016/3/15 19:05
a,1,20.7,45.41,198.57,2016/3/15 19:05
a,3,20.74,41.401,210,2016/3/15 19:05
a,4,21.14,42.494,230,2016/3/15 19:05
c,2,22.11,50.351,172.86,2016/3/15 19:05
c,3,22.1,35.325,160,2016/3/15 19:05
b,2,22.68,64.607,184.29,2016/3/15 19:05
b,3,22.75,53.186,184.29,2016/3/15 19:05
c,1,22.28,40.388,145.71,2016/3/15 19:05
c,4,21.97,38.039,217.14,2016/3/15 19:05
c,5,21.99,41.563,160,2016/3/15 19:05
b,1,22.91,50.472,165.71,2016/3/15 19:05
a,2,21.12,43.709,187.14,2016/3/15 19:05
a,1,20.71,45.41,197.14,2016/3/15 19:05
a,3,20.74,41.441,215.71,2016/3/15 19:05
c,2,22.1,50.351,174.29,2016/3/15 19:05
a,4,21.14,42.453,230,2016/3/15 19:05
b,1,22.92,50.472,167.14,2016/3/15 19:05
b,2,22.66,64.607,185.71,2016/3/15 19:05
b,3,22.75,53.186,184.29,2016/3/15 19:05
c,1,22.28,40.347,142.86,2016/3/15 19:05
c,3,22.1,35.325,160,2016/3/15 19:05
c,4,21.98,38.039,218.57,2016/3/15 19:05
c,5,22,41.563,157.14,2016/3/15 19:05
a,2,21.12,43.709,187.14,2016/3/15 19:05
a,4,21.13,42.413,232.86,2016/3/15 19:05
a,1,20.71,45.41,201.43,2016/3/15 19:05
a,3,20.74,41.36,214.29,2016/3/15 19:05
c,1,22.28,40.307,142.86,2016/3/15 19:05
c,2,22.1,50.351,174.29,2016/3/15 19:05
c,3,22.1,35.325,160,2016/3/15 19:05
c,4,21.98,38.039,217.14,2016/3/15 19:05
c,5,22,41.563,161.43,2016/3/15 19:05
b,2,22.66,64.607,185.71,2016/3/15 19:05
b,3,22.75,53.186,184.29,2016/3/15 19:05
b,1,22.92,50.513,164.29,2016/3/15 19:05
a,2,21.11,43.709,187.14,2016/3/15 19:05
a,1,20.71,45.41,198.57,2016/3/15 19:05
a,3,20.74,41.36,215.71,2016/3/15 19:05
a,4,21.14,42.413,234.29,2016/3/15 19:05
c,1,22.26,40.347,142.86,2016/3/15 19:05
c,2,22.11,50.351,171.43,2016/3/15 19:05
c,4,21.97,38.039,217.14,2016/3/15 19:05
c,5,22,41.563,158.57,2016/3/15 19:05
b,1,22.91,50.513,165.71,2016/3/15 19:05
b,2,22.66,64.607,185.71,2016/3/15 19:05
b,3,22.73,53.186,182.86,2016/3/15 19:05
c,3,22.09,35.325,158.57,2016/3/15 19:05
a,2,21.11,43.709,187.14,2016/3/15 19:05
a,3,20.74,41.36,215.71,2016/3/15 19:05
